X,dis
0.0005888700765530074,0
0.0011024804399873745,50
0.0014138711538582527,100
0.002209697288193979,150
0.0029124586602689816,200
0.003732456849774337,250
0.004706918324483382,300
0.00630848690884136,350
0.0080795390165882,400
0.010042113313935487,450
0.012830887411878109,500
0.01568466418393328,550
0.019503387404126896,600
0.02361900129092021,650
0.02855602693885544,700
0.03466380693276136,750
0.041287837651078976,800
0.04846821527188609,850
0.05693336012473409,900
0.06746127976161603,950
0.07776436889425241,1000
0.09070281814056358,1050
0.10459640571733146,1100
0.1194157912368685,1150
0.13648146444301318,1200
0.15598193589161538,1250
0.17634822819723553,1300
0.19817280182719826,1350
0.22261399999999995,1400
0.25051199999999996,1450
0.276717,1500
0.3092364738917911,1550
0.3417882029168699,1600
0.37507762492237506,1650
0.408994,1700
0.44605444605444605,1750
0.4862869377644484,1800
0.524393,1850
0.5602171678180414,1900
0.60059,1950
0.6439489706929521,2000
0.6831196532966165,2050
0.724177,2100
0.766088,2150
0.804858,2200
0.8478270000000001,2250
0.8851829999999999,2300
0.9191996323201471,2350
0.9437791718885505,2400
0.9666173742881818,2450
0.9807074847670916,2500
0.9899661063491044,2550
0.9935881511672666,2600
0.9973734379468708,2650
0.9990047521056427,2700
