DC,X,dis
2.01438589225411e-15,0.004870761781547342,0.3369524660385261
2.014383928951448e-15,0.0048717214427137475,1.2350696374573953
2.014378038716297e-15,0.0048746005917665826,2.133182640273616
2.014368220512368e-15,0.004879399752066369,3.031291474525888
2.014354472576359e-15,0.004886119813626611,3.9293961402529045
2.0143367924179803e-15,0.004894762033020899,4.827496637493363
2.0143151768334824e-15,0.00490532802694815,5.725592474580541
2.0142896218989538e-15,0.004917819775417073,6.623683243046129
2.014260122957759e-15,0.004932239628014623,7.521768942947343
2.0142266746283075e-15,0.004948590300194296,8.419849574341391
2.0141892709080012e-15,0.004966874822476173,9.317922779091951
2.0141479056014936e-15,0.004987096331246833,10.21597606571025
2.0141025714012458e-15,0.005009258518256029,11.114008531129494
2.014053260243139e-15,0.005033365456919959,12.012020176315152
2.013999963343273e-15,0.005059421584456073,12.910011002232602
2.0139426714114363e-15,0.005087431597663152,13.807977795738397
2.013881374399376e-15,0.005117400576063408,14.705918735776391
2.013816061439251e-15,0.005149334012205765,15.60383382383525
2.013746720949223e-15,0.0051832377601892365,16.501723061403514
2.0136733404171288e-15,0.005219118141625172,17.39958904524129
2.013595905780887e-15,0.005256982248786732,18.29744332326432
2.0135144031339936e-15,0.005296837110922414,19.19528589577783
2.0134288178614145e-15,0.0053386901169275355,20.093116763087025
2.0133391346414618e-15,0.00538254901466963,20.99093592549712
2.013245337598003e-15,0.005428421836765142,21.888741975373822
2.01314741007973e-15,0.005476317008748275,22.7865343881702
2.0130453346837665e-15,0.005526243337854857,23.684313164300516
2.01293909330887e-15,0.0055782099871592005,24.582078304179024
2.0128286673068548e-15,0.005632226401883673,25.479828619988982
2.012714037613677e-15,0.005688302245460674,26.377560959127408
2.0125951841092223e-15,0.005746447713033536,27.27527532007935
2.012472085985169e-15,0.005806673351857149,28.17297170356486
2.0123447217678923e-15,0.005868990050390873,29.07064997157573
2.012213070592533e-15,0.005933408415182541,29.968301340203478
2.0120771100650265e-15,0.005999939817264422,30.865923647109827
2.0119368168143303e-15,0.006068596122339277,31.763516894176497
2.0117921667975646e-15,0.006139389541921803,32.66108108328502
2.0116431353038924e-15,0.006212332631761298,33.558616211577096
2.0114896969578312e-15,0.006287438290658548,34.45612227254985
2.0113318257204236e-15,0.006364719760220016,35.35359926808596
2.0111694948942445e-15,0.006444190622922642,36.25104720006793
2.0110026771460244e-15,0.006525864791402848,37.148465968529564
2.010831346091432e-15,0.006609755732859488,38.04584721105418
2.0106554734082994e-15,0.006695877882931915,38.943189922033014
2.01047502994748e-15,0.006784246102290698,39.84049410477488
2.010289985921953e-15,0.006874875584580057,40.73775976258817
2.0101003095326047e-15,0.006967782530064884,41.634993339991965
2.0099059678794057e-15,0.007062983700013027,42.5322028171543
2.00970692905892e-15,0.00716049538980311,43.42938819536985
2.0095031605435096e-15,0.0072603342231374315,44.326549475933184
2.0092946293369055e-15,0.007362517076434999,45.22368601774389
2.0090813031068763e-15,0.007467060524157538,46.12079191671753
2.0088631477649534e-15,0.007573982025383364,47.01786644827104
2.0086401284513527e-15,0.007683299441860497,47.9149096145979
2.0084122097067727e-15,0.007795030954423049,48.81192141789134
2.0081793582062446e-15,0.007909193723139333,49.70889145834751
2.007941539955866e-15,0.008025805261828391,50.60581049792131
2.0076987180587945e-15,0.008144884534259284,51.502678542412205
2.007450855043889e-15,0.00826645081332392,52.399495597618696
2.0071979127798976e-15,0.008390523723765794,53.296261989407306
2.006939851417199e-15,0.008517123762124015,54.19298199248801
2.0066766317151433e-15,0.008646271155746342,55.089655611659886
2.0064082138799064e-15,0.008777986433513555,55.986282851721285
2.006134557570126e-15,0.008912290423711923,56.88286371746978
2.005855620877763e-15,0.009049204755104413,57.77940147776238
2.005571361655095e-15,0.00918875120651996,58.675898233238485
2.005281737857146e-15,0.009330951539331507,59.57235398764884
2.0049867069142097e-15,0.009475827806249018,60.468768744743656
2.0046862256612076e-15,0.009623402386704989,61.36514273502808
2.0043802501674913e-15,0.009773698071396148,62.26147690868025
2.0040687362883874e-15,0.009926737792137841,63.15777131650163
2.0037516393953274e-15,0.010082544755189297,64.05402596202056
2.0034289143669652e-15,0.010241142446533721,64.95024084876484
2.0031005216171594e-15,0.010402551669610977,65.84639968960742
2.002766418197603e-15,0.010566794917991333,66.74249497727837
2.002426558012323e-15,0.010733896271886206,67.63852672079123
2.002080894507775e-15,0.010903880077216039,68.53449492915767
2.001729380088296e-15,0.011076771233967211,69.43040110691567
2.0013719651505814e-15,0.01125259567242435,70.32625054949074
2.0010086016766063e-15,0.011431378586874104,71.2220432640683
2.000639241218271e-15,0.011613145427504846,72.11777925783241
2.000263834883704e-15,0.01179792190816062,73.01345858877572
1.9998823316517983e-15,0.011985734837107574,73.90908530487738
1.9994946811387965e-15,0.012176610756529245,74.8046608050201
1.9991008331395034e-15,0.012370576168994342,75.70018509506114
1.9987007370562734e-15,0.012567657819516376,76.59565818085676
1.9982943411667706e-15,0.012767883057407782,77.49108168710407
1.9978815923124966e-15,0.012971279991198636,78.38645942104247
1.997462438631795e-15,0.013177876143091136,79.28179142822687
1.9970368279203544e-15,0.013387699257501525,80.17707771332758
1.99660470762151e-15,0.013600777307002952,81.07231828101422
1.9961660354146905e-15,0.01381713327049988,81.96749170692557
1.995720760874904e-15,0.014036794177272055,82.86259334304626
1.995268831028466e-15,0.014259788370627418,83.75762320089015
1.9948101925939057e-15,0.014486144404102685,84.65258129196839
1.9943447949719535e-15,0.014715889566545206,85.54746193823229
1.99387258997373e-15,0.014949050015636036,86.4422547119379
