X,dis
0.0025311643355943737,0.0
0.002622412619610042,4.0
0.0026209959784718197,8.0
0.0027810846230029713,12.0
0.003733210561082531,16.0
0.0037430693168398086,20.0
0.003372158181235991,24.0
0.004613783302307893,28.0
0.004253445290685455,32.0
0.005131847465087431,36.0
0.0058549767302206865,40.0
0.006174198454949365,44.0
0.006275962164055853,48.0
0.007505704335294824,52.0
0.008594211163470101,56.0
0.008425476559763846,60.0
0.009814809256535703,64.0
0.010198668868538256,68.0
0.01187187187187187,72.0
0.012317143943487223,76.0
0.012862476602304235,80.0
0.014103257061637937,84.0
0.01585220619877305,88.0
0.01711249211924705,92.0
0.018537054089762584,96.0
0.019467008122924248,100.0
0.020335658457011897,104.0
0.0227252268021645,108.0
0.023603690140281363,112.0
0.02652432313449262,116.0
0.027265725802418504,120.0
0.028628322126160736,124.0
0.030850489166316546,128.0
0.03308727920142432,132.0
0.03530942018109961,136.0
0.037220098853380824,140.0
0.03943287106521782,144.0
0.040475380644644975,148.0
0.046927977756218556,156.0
0.04967887797362999,160.0
0.05310451793665883,164.0
0.05703159412165139,168.0
0.05850526547389264,172.0
0.06333900170051017,176.0
0.06555097631241998,180.0
0.06829639113387213,184.0
0.07228096147882884,188.0
0.07669218069938466,192.0
0.07982357000690118,196.0
0.08482999999999999,200.0
0.08898,204.0
0.09290065721688157,208.0
0.09693137362802288,212.0
0.1016589621980749,216.0
0.10477086063564793,220.0
0.11045528666753368,224.0
0.11708,228.0
0.1221267099640745,232.0
0.12721,236.0
0.13309186960958916,240.0
0.13912000000000005,244.0
0.14722000000000002,248.0
0.1537630752615052,252.0
0.16117805890294515,256.0
0.16520381509022308,260.0
0.17007999999999998,264.0
0.17404917672008482,268.0
0.1824722564117959,272.0
0.18792,276.0
0.19491499984991145,280.0
0.20324845478366968,284.0
0.21129845193807753,288.0
0.21635000000000001,292.0
0.22177766219216996,296.0
0.22252,297.0
0.22549823915479436,298.0
0.22514131359111603,299.0
0.2262662025924148,300.0
0.22773842398046984,301.0
0.22974730397551074,302.0
0.23079847528338324,303.0
0.23577715543108624,304.0
0.23542883430674455,305.0
0.23703874123495808,306.0
0.24071221366409923,307.0
0.23974116635162568,308.0
0.23958896159772675,309.0
0.24280082447819729,310.0
0.4945196711802708,313.0
0.4970180915786104,314.0
0.4965546210083109,315.0
0.49762791256305555,316.0
0.4991946053566248,317.0
0.49815,318.0
0.49971969166082686,319.0
0.49931484241375523,320.0
0.50224,321.0
0.5034272276980039,322.0
0.5043579198062702,323.0
0.5056135926993276,324.0
0.5046466263192116,325.0
0.5042653838845497,326.0
0.506181119308115,327.0
0.5091765600152025,328.0
0.5096022016512385,329.0
0.5095517817650531,330.0
0.5108529226335226,331.0
0.5148791351784194,332.0
0.5161458124924972,333.0
0.5200812454974786,334.0
0.5186386386386386,335.0
0.5183242929484999,336.0
0.5188509155014223,337.0
0.5266189789212149,338.0
0.5223486142653296,339.0
0.9779640502935792,342.0
0.9803546766477854,343.0
0.98128633902749,344.0
0.9816657988544878,345.0
0.9834999999999999,346.0
0.9857122818267441,347.0
0.9869151586086851,348.0
0.98803,349.0
0.9899945970824244,350.0
0.9898461415337827,351.0
0.9913380465041756,352.0
0.992396350248119,353.0
0.9915190595868671,354.0
0.9932848965213562,355.0
0.9933157889470364,356.0
