DC,X,dis
2.0634219723113013e-15,0.005278752067613904,0.0
2.063415215335891e-15,0.005283541942207487,1.3874582983101846
2.0634016986724213e-15,0.005293123661418702,2.7749067646547885
2.0633814168008106e-15,0.0053075012325389526,4.162345399173163
2.0633543614180456e-15,0.005326680683031343,5.549772086207811
2.0633205216305913e-15,0.005350669924297089,6.937177450342355
2.063279883630434e-15,0.00537947898189069,8.324560801893828
2.0632324308410383e-15,0.005413119892392617,9.711920479722483
2.063178144018512e-15,0.005451606632331866,11.099252133519855
2.063117001006903e-15,0.005494955292407044,12.486555557657086
2.0630489769118135e-15,0.0055431839551108395,13.873829477835024
2.0629740441364672e-15,0.005596312670122612,15.261071534207856
2.062892172206241e-15,0.005654363579647684,16.6482817282393
2.0628033280271473e-15,0.005717360736284662,18.035457806151207
2.0627074758149474e-15,0.005785330154457137,19.42259719916898
2.0626045768935715e-15,0.0058582999546870984,20.809699918977618
2.0624945897523313e-15,0.00593630032443408,22.196767215884826
2.062377470164502e-15,0.006019363435495035,23.583800005516373
2.0622531712637115e-15,0.006107523391548056,24.97079828958917
2.062121643798545e-15,0.006200816049135376,26.35775894139087
2.0619828357265515e-15,0.006299279307539609,27.744680621820425
2.0618366922334153e-15,0.006402953097112359,29.131563333067852
2.0616831562305436e-15,0.0065118790283303345,30.518403878443365
2.0615221677862922e-15,0.0066261007974017195,31.90520153877917
2.0613536643438243e-15,0.006745664034031776,33.29195594897575
2.0611775811313292e-15,0.006870616012720548,34.67866402528322
2.0609938505618288e-15,0.007001006081043786,36.06532512266553
2.060802402518219e-15,0.007136885460070408,37.451938700852715
2.0606031647606744e-15,0.0072783069578425,38.838501687989876
2.0603960622248004e-15,0.007425325470389483,40.22501373161484
2.0601810174397473e-15,0.007577997687887656,41.6114742295321
2.059957950934547e-15,0.00773638180919279,42.99788005801554
2.0597267803817517e-15,0.007900538152995146,44.38423122137636
2.059487421310501e-15,0.008070528654811324,45.770526436195844
2.0592397873005724e-15,0.00824641673253359,47.15676243978488
2.05898378909275e-15,0.008428267921738623,48.542939217440015
2.058719335549802e-15,0.008616149196830165,49.92905470509629
2.058446333559131e-15,0.00881012904373526,51.315105756864895
2.058164687231985e-15,0.009010278032842385,52.70109236130059
2.0578742990512584e-15,0.009216668007376055,54.08701194970193
2.0575750694159446e-15,0.009429372411174244,55.47286201358889
2.0572668961236848e-15,0.009648466660696225,56.858642559936584
2.0569496756631465e-15,0.009874027230772077,58.24435036032836
2.0566233022888757e-15,0.010106132316498408,59.62998343634211
2.056287667880206e-15,0.010344861938498703,61.015541635882165
2.0559426632577395e-15,0.010590297011118667,62.401021337849116
2.055588176918906e-15,0.010842520246581283,63.78642095216956
2.055224095162406e-15,0.011101616071649348,65.17174035838343
2.054850303600402e-15,0.011367669556436422,66.55697534872762
2.0544666852853955e-15,0.011640767752581577,67.94212498794795
2.054073121339347e-15,0.01192099925107543,69.32718918743298
2.0536694926691884e-15,0.012208452965924252,70.71216294797277
2.053255677294695e-15,0.012503220042412775,72.09704595519229
2.052831551850441e-15,0.012805392793379987,73.48183733946534
2.0523969925131256e-15,0.013115064044084144,74.86653298167369
2.0519518729383067e-15,0.013432328608064316,76.25113239967195
2.0514960656719882e-15,0.013757282287483867,77.63563425324017
2.051029443077661e-15,0.014090021217894448,79.02003388177546
2.050551874810924e-15,0.01443064367500927,80.40433108021449
2.0500632299302803e-15,0.014779248576120289,81.78852385011325
2.0495633774184025e-15,0.015135935114014138,83.17260732766687
2.0490521834666536e-15,0.01550080470091274,84.5565815301332
2.0485295141832125e-15,0.01587395904301335,85.94044389420824
2.0479952352438703e-15,0.016255500395726617,87.32419060243711
2.04744920997777e-15,0.016645532937449577,88.70782167415041
2.046891302055659e-15,0.01704416085688529,90.09133412138122
2.046321374374729e-15,0.017451489155997,91.47472509368362
2.0457392879559558e-15,0.017867624445352684,92.85799461238761
2.0451449047750072e-15,0.01829267292787839,94.24113890864886
2.0445380856668894e-15,0.01872674190337557,95.62415568517476
2.0439186899440537e-15,0.019169940049698245,97.00704496547716
2.0432865786400175e-15,0.019622375109246238,98.38980198612575
2.0426416111319406e-15,0.020084156312427208,99.77242498620694
2.0419836458605915e-15,0.020555393870867685,101.15491356628975
2.0413125432724853e-15,0.021036196877420775,102.53726269952338
2.0406281620686668e-15,0.0215266759998854,103.91947082567893
2.0399303602405217e-15,0.022026942747859848,105.30153763621595
2.0392189986576627e-15,0.022537106907360053,106.6834571924811
2.0384939356751196e-15,0.023057280414578777,108.06522877778268
2.0377550296720913e-15,0.023587575544356785,109.44685185280778
2.037002142119132e-15,0.024128102715541073,110.82832060012201
2.0362351318327505e-15,0.024678974621999927,112.20963479850545
2.0354538586698895e-15,0.025240303589281202,113.59079298319004
2.034658184995544e-15,0.025812200526198113,114.9717901666285
2.033847971150391e-15,0.0263947781892142,116.35262594428801
2.0330230788799105e-15,0.026988148726397737,117.733298535315
2.0321833727804775e-15,0.027592422642954546,119.11380267681099
2.0313287150834643e-15,0.028207712561320306,120.49413840987572
2.0304589706207926e-15,0.028834129656103952,121.87430294088331
2.0295740066831957e-15,0.029471783760976315,123.25429122974906
2.0286736884056518e-15,0.0301207867006174,124.63410332147961
